"id","name","active_seasons"
1,"Student Coached Teams","1891-1897"
2,"J.A. Pierce","1899-1900"
3,"George Kelley",1901
4,"H.F. Fisher","1902-1903"
5,"S.D. Crawford",1904
6,"J.D. Depree","1905-1906"
7,"George Levine","1907-1909"
8,"Andrew A. (Alex) Stone",1910
9,"Z.G. Clevenger","1911-1915"
10,"John R. Bender","1916,1919-1920"
11,"M.B. Banks","1921-1925"
12,"Robert R. Neyland","1926-1934,1936-1940,1946-1952"
13,"W.H. Britton",1935
14,"John Barnhill","1941,1942,1944,1945"
15,"Harvey Robinson","1953-1954"
16,"Bowden Wyatt","1955-1962"
17,"Jim McDonald",1963
18,"Doug Dickey","1964-1969"
19,"Bill Battle","1970-1976"
20,"Johnny Majors","1977-1992"
21,"Phillip Fulmer","1992-2008"
22,"Lane Kiffin",2009
23,"Derek Dooley","2010-2012"
24,"Butch Jones","2013-present"
