"id","School"
1,"Air Force"
2,"Akron"
3,"Alabama"
4,"American Univ."
5,"Arkansas"
6,"Arkansas State"
7,"Army"
8,"Asheville Athletics"
9,"Athens"
10,"Auburn"
11,"Austin Peay"
12,"Baylor"
13,"Boston College"
14,"Bristol A.C."
15,"Buffalo"
16,"California"
17,"California - Santa Barbara"
18,"Camp Benning"
19,"Carson-Newman"
20,"Central University"
21,"Centre"
22,"Chattanooga"
23,"Chattanooga A.C."
24,"Cincinnati"
25,"Clemson"
26,"Colorado"
27,"Colorado State"
28,"Cumberland"
29,"Dartmouth"
30,"Davidson"
31,"Dayton"
32,"Duke"
33,"East Carolina"
34,"Emory & Henry"
35,"Florida"
36,"Florida State"
37,"Fordham"
38,"Fresno State"
39,"Furman"
40,"George Washington"
41,"Georgetown"
42,"Georgia"
43,"Georgia State"
44,"Georgia Tech"
45,"Grant"
46,"Hawaii"
47,"Houston"
48,"Howard"
49,"Indiana"
50,"Iowa"
51,"Iowa State"
52,"Kansas"
53,"Kansas State"
54,"Kentucky"
55,"Kentucky A&M"
56,"Kentucky State"
57,"Kentucky Univ."
58,"King"
59,"Louisiana Tech"
60,"Louisiana-Lafayette"
61,"Louisiana-Monroe"
62,"Louisville"
63,"Lousiana Tech"
64,"LSU"
65,"Marshall"
66,"Maryland"
67,"Maryville"
68,"Memphis"
69,"Memphis State"
70,"Mercer"
71,"Miami"
72,"Michigan"
73,"Middle Tenn. State"
74,"Minnesota"
75,"Mississippi"
76,"Mississippi A&M"
77,"Mississippi Southern"
78,"Mississippi State"
79,"Missouri"
80,"Montana"
81,"Mooney School"
82,"MTSU"
83,"Nashville"
84,"Nebraska"
85,"New Mexico"
86,"New York University"
87,"North Carolina"
88,"North Carolina State"
89,"North Texas State"
90,"Northern Illinois"
91,"Northwestern"
92,"Notre Dame"
93,"Ohio"
94,"Ohio State"
95,"Oklahoma"
96,"Oklahoma State"
97,"Oregon"
98,"Oregon State"
99,"Pacific"
100,"Penn State"
101,"Pittsburgh"
102,"Purdue"
103,"Rice"
104,"Richmond"
105,"Rutgers"
106,"Sewanee"
107,"South Alabama"
108,"South Carolina"
109,"Southern California"
110,"Southern Methodist"
111,"Southern Mississippi"
112,"Southwestern"
113,"Southwestern Louisiana"
114,"Syracuse"
115,"Tampa"
116,"TCU"
117,"Temple"
118,"Tenn. Medical School"
119,"Tenn. School for Deaf"
120,"Tennessee Tech"
121,"Texas"
122,"Texas A&M"
123,"Texas Tech"
124,"The Citadel"
125,"Transylvania"
126,"Troy"
127,"Tulane"
128,"Tulsa"
129,"Tusculum"
130,"UAB"
131,"UCLA"
132,"UNLV"
133,"UT Chattanooga"
134,"UT Martin"
135,"Utah"
136,"UTEP"
137,"Vanderbilt"
138,"Viginia Military Inst."
139,"Villanova"
140,"Virginia"
141,"Virginia Tech"
142,"Wake Forest"
143,"Washington & Lee"
144,"Washington State"
145,"Western Kentucky"
146,"Wichita State"
147,"William & Mary"
148,"Williamsburg"
149,"Wisconsin"
150,"Wofford"
151,"Wyoming"
