"id","season"
1,2013
2,2012
3,2011
4,2010
5,2009
6,2008
7,2007
8,2006
9,2005
10,2004
11,2003
12,2002
13,2001
14,2000
15,1999
16,1998
17,1997
18,1996
19,1995
20,1994
21,1993
22,1992
23,1991
24,1990
25,1989
26,1988
27,1987
28,1986
29,1985
30,1984
31,1983
32,1982
33,1981
34,1980
35,1979
36,1978
37,1977
38,1976
39,1975
40,1974
41,1973
42,1972
43,1971
44,1970
45,1969
46,1968
47,1967
48,1966
49,1965
50,1964
51,1963
52,1962
53,1961
54,1960
55,1959
56,1958
57,1957
58,1956
59,1955
60,1954
61,1953
62,1952
63,1951
64,1950
65,1949
66,1948
67,1947
68,1946
69,1945
70,1944
71,1942
72,1941
73,1940
74,1939
75,1938
76,1937
77,1936
78,1935
79,1934
80,1933
81,1932
82,1931
83,1930
84,1929
85,1928
86,1927
87,1926
88,1925
89,1924
90,1923
91,1922
92,1921
93,1920
94,1919
95,1916
96,1915
97,1914
98,1913
99,1912
100,1911
101,1910
102,1909
103,1908
104,1907
105,1906
106,1905
107,1904
108,1903
109,1902
110,1901
111,1900
112,1899
113,1897
114,1896
115,1893
116,1892
117,1891
